2018-09-12T04:16:40+00:00 28240436 J_C (500+; 100%)
2018-09-12T03:09:49+00:00 28239396 Cheshiresmile (30+; 100%)
2018-09-12T03:04:47+00:00 28239396 Cheshiresmile (30+; 100%)
2018-09-12T02:52:39+00:00 28238778 cee947 (2; 100%)
2018-09-12T02:49:22+00:00 28238778 cee947 (2; 100%)
2018-09-12T02:43:09+00:00 28238778 J_C (500+; 100%)
2018-09-12T02:39:48+00:00 28238778 cee947 (2; 100%)
2018-09-12T02:36:46+00:00 28238778 J_C (500+; 100%)
2018-09-12T02:36:34+00:00 28238778 cee947 (2; 100%)
2018-09-12T02:36:01+00:00 28238778 J_C (500+; 100%)
2018-09-12T02:34:44+00:00 28238778 cee947 (2; 100%)
2018-09-12T02:29:33+00:00 28238945 J_C (500+; 100%)
2018-09-12T02:28:19+00:00 28238945 Luisvillarroel (23; 93%)
2018-09-12T02:27:15+00:00 28238945 Luisvillarroel (23; 93%)
2018-09-12T02:19:18+00:00 28238778 cee947 (2; 100%)
2018-09-12T02:16:29+00:00 28238778 J_C (500+; 100%)
2018-09-12T01:13:02+00:00 28236732 J_C (500+; 100%)
2018-09-12T01:05:57+00:00 28236732 PublicEnemy1988 (70+; 100%)
2018-09-12T01:05:36+00:00 28236732 PublicEnemy1988 (70+; 100%)
2018-09-12T00:59:47+00:00 28236732 PublicEnemy1988 (70+; 100%)
2018-09-12T00:57:30+00:00 28237356 Showtimejones96 (100+; 100%)
2018-09-12T00:56:00+00:00 28237356 Showtimejones96 (100+; 100%)
2018-09-12T00:52:25+00:00 28236732 J_C (500+; 100%)
2018-09-12T00:51:24+00:00 28236732 PublicEnemy1988 (70+; 100%)
2018-09-12T00:50:27+00:00 28236732 J_C (500+; 100%)
2018-09-14T14:41:18+00:00 28386124 J_C (500+; 100%)
2018-09-14T14:36:52+00:00 28386124 cleazzyforshezzy85 (19; 100%)
2018-09-14T14:34:17+00:00 28386124 cleazzyforshezzy85 (19; 100%)
2018-09-14T14:34:04+00:00 28386124 cleazzyforshezzy85 (19; 100%)
2018-09-14T14:33:20+00:00 28386124 J_C (500+; 100%)
2018-09-14T14:31:32+00:00 28386124 cleazzyforshezzy85 (19; 100%)
2018-09-14T14:26:58+00:00 28385660 J_C (500+; 100%)
2018-09-14T14:25:59+00:00 28385660 wattasmith (3; 100%)
2018-09-14T14:25:34+00:00 28385660 J_C (500+; 100%)
2018-09-14T14:24:59+00:00 28385092 mandisantos24 (30+; 100%)
2018-09-14T14:24:46+00:00 28385092 mandisantos24 (30+; 100%)
2018-09-14T14:22:37+00:00 28385092 J_C (500+; 100%)
2018-09-14T14:22:19+00:00 28385092 mandisantos24 (30+; 100%)
2018-09-14T14:18:00+00:00 28385092 mandisantos24 (30+; 100%)
2018-09-14T14:16:25+00:00 28382812 mandisantos24 (30+; 100%)
2018-09-14T13:55:13+00:00 28382812 J_C (500+; 100%)
2018-09-14T13:49:13+00:00 28378568 jcortez84 (100+; 100%)
2018-09-14T13:47:38+00:00 28382812 mandisantos24 (30+; 100%)
2018-09-14T13:46:17+00:00 28378568 jcortez84 (100+; 100%)
2018-09-14T13:45:21+00:00 28378568 jcortez84 (100+; 100%)
2018-09-14T13:42:55+00:00 28378568 J_C (500+; 100%)
2018-09-14T13:26:16+00:00 28378568 jcortez84 (100+; 100%)
2018-09-14T13:16:02+00:00 28378568 J_C (500+; 100%)
2018-09-14T13:14:10+00:00 28378568 jcortez84 (100+; 100%)
2018-09-14T13:11:52+00:00 28378568 J_C (500+; 100%)
2018-09-14T14:44:21+00:00 28387068 J_C (500+; 100%)
2018-09-14T14:44:07+00:00 28386124 cleazzyforshezzy85 (19; 100%)
2018-09-14T14:45:39+00:00 28386124 J_C (500+; 100%)
2018-09-14T14:46:17+00:00 28387068 Luisvillarroel (24; 94%)
2018-09-14T14:47:56+00:00 28387068 Luisvillarroel (24; 94%)
2018-09-14T14:48:55+00:00 28387068 Luisvillarroel (24; 94%)
2018-09-14T14:48:55+00:00 28387068 Luisvillarroel (25; 94%)
2018-09-14T14:47:56+00:00 28387068 Luisvillarroel (25; 94%)
2018-09-14T14:46:17+00:00 28387068 Luisvillarroel (25; 94%)
2018-09-14T15:05:25+00:00 28388864 J_C (500+; 100%)
2018-09-14T15:08:07+00:00 28388864 Cheshiresmile (30+; 100%)
2018-09-16T22:20:58+00:00 28524307 J_C (500+; 100%)
2018-09-16T22:19:17+00:00 28524307 J_C (500+; 100%)
